product_type,google_product_category,category_name
Bits,4018,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Bridle Bits
Boots,187,Apparel & Accessories > Shoes
Breeches,5322,Apparel & Accessories > Clothing > Activewear
Clothing,1604,Apparel & Accessories > Clothing
Clothing - Ladies Clothing,5322,Apparel & Accessories > Clothing > Activewear
Clothing - Men's Clothing,5322,Apparel & Accessories > Clothing > Activewear
Clothing - Kid's Clothing,5322,Apparel & Accessories > Clothing > Activewear
Clothing - Clothing Accessories,167,Apparel & Accessories > Clothing Accessories
Dog Collars & Leads,6250,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses
Dog Toys,5010,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys
Dog Treats,5011,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Treats
Dog Accessories,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies
Dog Grooming & Coat Care,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies
Dog Potions & Lotions,6248,Animals & Pet Supplies > Pet Supplies > Pet Flea & Tick Control
Dog Rugs & Fashion,5004,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel
Dog Walking,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies
Dog Wormer & Flea,6248,Animals & Pet Supplies > Pet Supplies > Pet Flea & Tick Control
Horse Boots,5569,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Boots & Leg Wraps
Horse Boots & Bandages,5569,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Boots & Leg Wraps
Horse Rugs,6898,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Blankets & Sheets
Horse Grooming Combs,499818,"Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Grooming > Horse Grooming Combs, Brushes & Mitts"
Cat Gyms & Toys,5001,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys
Cat Accessories,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies
Cat Food & Treats,5002,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Treats
Cat Potions & Lotions,6248,Animals & Pet Supplies > Pet Supplies > Pet Flea & Tick Control
Bird Toys,4992,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Toys
Bird Cages & Furniture,4989,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cages & Stands
Helmets,3821,Sporting Goods > Outdoor Recreation > Equestrian > Riding Apparel & Accessories > Equestrian Helmets
Helmet,3821,Sporting Goods > Outdoor Recreation > Equestrian > Riding Apparel & Accessories > Equestrian Helmets
Saddle Cloths,8108,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories > Saddle Accessories > Saddle Pads & Blankets
Saddle Pad,8108,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories > Saddle Accessories > Saddle Pads & Blankets
Saddlepads,8108,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories > Saddle Accessories > Saddle Pads & Blankets
Veterinary,5086,Animals & Pet Supplies > Pet Supplies > Pet Medicine
Jewellery,188,Apparel & Accessories > Jewelry
Gloves,170,Apparel & Accessories > Clothing Accessories > Gloves & Mittens
Girths,8107,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories > Saddle Accessories
Halter,499710,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Horse Halters
Hats & Accessories,173,Apparel & Accessories > Clothing Accessories > Hats
Belts,169,Apparel & Accessories > Clothing Accessories > Belts
Belt,169,Apparel & Accessories > Clothing Accessories > Belts
Grooming,5025,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Grooming
Supplements,7459,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Vitamins & Supplements
Feed Supplements,7459,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Vitamins & Supplements
Stirrup Irons,8109,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Stirrups
Spurs & Straps,2427,Apparel & Accessories > Shoe Accessories > Spurs
Rug,6898,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Blankets & Sheets
Fly Control,499817,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Fly Masks
Womens,5322,Apparel & Accessories > Clothing > Activewear
Mens,5322,Apparel & Accessories > Clothing > Activewear
Kids,5322,Apparel & Accessories > Clothing > Activewear
Kids Footwear,187,Apparel & Accessories > Shoes
Accessories,167,Apparel & Accessories > Clothing Accessories
Pet,2,Animals & Pet Supplies > Pet Supplies
Small Animal,2,Animals & Pet Supplies > Pet Supplies
General,2,Animals & Pet Supplies > Pet Supplies
Default,2,Animals & Pet Supplies > Pet Supplies
Browbands,3426,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Bridles
HORSE: Bits,4018,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Bridle Bits
HORSE: Flyveils & Bonnets,499817,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Fly Masks
HORSE: Girths,8107,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories > Saddle Accessories
HORSE: Headstalls,3426,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Bridles
HORSE: Horse Boots,5569,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Boots & Leg Wraps
HORSE: Leads & Snap Hooks,499709,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Horse Leads
HORSE: Lungeing & Schooling,5593,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack
HORSE: Number Holders,7215,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories
HORSE: Racing & PVC,5593,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack
HORSE: Saddlecloths,8108,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories > Saddle Accessories > Saddle Pads & Blankets
HORSE: Stirrup Irons,8109,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Stirrups
HORSE: Stirrup Leathers,8109,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack > Stirrups
HORSE: Stock & Western,5593,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack
HORSE: Wither & Back Pads,8108,Sporting Goods > Outdoor Recreation > Equestrian > Horse Tack Accessories > Saddle Accessories > Saddle Pads & Blankets
STABLE: Grooming,5025,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Grooming
STABLE: Supplements,7459,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Vitamins & Supplements
STABLE: Show Preparation,5025,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Grooming
STABLE: First Aid & Dressings,6861,Animals & Pet Supplies > Pet Supplies > Pet Medical Tape & Bandages
STABLE: Stable Equipment,3257,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care
STABLE: Leather Care & Proofing,5025,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Grooming
STABLE: Farrier,3257,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care
STABLE: Clippers,6386,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Grooming > Horse Clippers & Trimmers
STABLE: Hoof Care,3257,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care
STABLE: Horse Treats & Toys,7481,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Treats
RIDER: Giftware,696,Home & Garden > Decor
RIDER: Gloves,170,Apparel & Accessories > Clothing Accessories > Gloves & Mittens
RIDER: Luggage,5181,Luggage & Bags
RIDER: Helmets,3821,Sporting Goods > Outdoor Recreation > Equestrian > Riding Apparel & Accessories > Equestrian Helmets
RIDER: Spurs & Straps,2427,Apparel & Accessories > Shoe Accessories > Spurs
RIDER: Glasses & Goggles,178,Apparel & Accessories > Clothing Accessories > Sunglasses
RIDER: Stocks & Hair Accessories,171,Apparel & Accessories > Clothing Accessories > Hair Accessories
RUGS: Summer Rugs,6898,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Blankets & Sheets
RUGS: Winter Rugs,6898,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Blankets & Sheets
RUGS: Summer Rugs Neck Rugs & Hoods,6898,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Blankets & Sheets
