trailrace_item_id,trailrace_title,trailrace_price_aud,trailrace_clicks,trailrace_impressions,trailrace_cost_aud,trailrace_conversion_value_aud,trailrace_roas,trailrace_paid_label
shopify_au_8108268159195_44328642248923,Samshield Chamonix Padded Vest,330.0,77,0.0,73.38,3044.95,41.5,tr_a
shopify_au_8869747884251_48034342011099,Trolle Light Tech Class Riding Jacket Terra Brown / 38,1100.0,28,0.0,46.09,2505.69,54.37,tr_a
shopify_au_8310105800923_45060362207451,Equipe Stirrup Leathers Brown / 145cm,249.95,8,484.0,3.46,2162.38,624.97,tr_a
shopify_au_4382042718266_31285821112378,Flexible Filly Muzzle Cob/Horse,139.95,173,0.0,143.95,2151.96,14.95,tr_a
shopify_au_8181876031707_44513156628699,Samshield Miss Shield 2.0 Helmet - Crystal Fabric Front Band,1544.0,12,0.0,15.15,1859.09,122.71,tr_a
shopify_au_490578182167_4030998478871,Stud Girth Base | Equipe Brown / 145cm,299.95,22,564.0,16.27,1589.23,97.68,tr_a
shopify_au_8840381497563_46645995864283,Samshield Victorine Premium - Tall - SS25 Cosmic Blue / 38,899.0,60,0.0,52.93,1414.79,26.73,tr_a
shopify_au_4547711172666_31952813654074,ThinLine Bareback Pad Black,359.95,21,0.0,28.84,1368.21,47.44,tr_a
shopify_au_8043199987931_44142823768283,Samshield Diane Breeches - Winter,415.0,143,0.0,105.28,1364.3,12.96,tr_a
shopify_au_8512864354523_46209434484955,KASK Star Lady Hunter - WG11 Black / 57cm-59cm,945.0,18,0.0,23.04,1327.99,57.64,tr_a
shopify_au_8890099728603_46794053910747,KASK Star Lady Pure Shine Swarovski Frame- WG11 Black / 57cm-59cm,1795.0,12,0.0,11.89,1289.19,108.43,tr_a
shopify_au_4382042718266_31285821079610,Flexible Filly Muzzle Mini/Pony,139.95,57,0.0,57.8,1282.14,22.18,tr_a
shopify_au_7994551369947_44018746949851,Samshield Crystal Flower Ladies Tails,1035.0,45,0.0,50.2,1259.3,25.09,tr_a
shopify_au_8181632991451_44512762069211,Samshield Miss Glossy 2.0 - Alcantara Top Navy / Medium,1299.0,8,868.0,7.53,1246.08,165.48,tr_a
shopify_au_9180905570523_48332645695707,Metalab Full Cheek Flexible 13cm,99.95,5,400.0,3.71,1225.2,330.24,tr_a
shopify_au_3962292371479_29502465343511,Ear Bonnet | Mattes Medium / Navy,99.95,13,0.0,14.51,1091.57,75.23,tr_a
shopify_au_7550333223131_42507524571355,KOOKI Lady Helmet - Matt Navy / 53cm-56cm,595.0,67,0.0,79.08,1089.45,13.78,tr_a
