issue_type,dest_path,priority,inlink_rows,unique_sources,recommended_url,example_source,top_anchor,source_class,status,action
3xx,/products,P1,6020,6020,/horse/grooming/products,/,All Products,footer,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/stable/bags,P1,23,21,,/horse/stable/treats,Stable Bags for Horse Care,template_or_listing,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/stable/storage,P1,21,21,,/horse/stable/treats,Horse Stable Storage Solutions,template_or_listing,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/bandages,P1,20,18,/horse/boots/bandages,/horse/boots/float,Bandages & Wraps Complement your boots with quality bandages Browse Collection,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/rider/accessories/hats,P1,13,11,,/accessories/books,Hats & Caps for Riders,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/collections/horse-health/vitamins-and-supplements,P1,13,10,/horse/supplements,/news/do-horses-sleep-standing-up,joint stiffness,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health,P1,12,11,/horse/veterinary,/news/do-horses-sleep-standing-up,remain fit and healthy,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/rugs/travel,P1,11,11,,/horse/rugs,Travel Rugs for Horses,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
4xx,/pet/small-animal/peters-treat-lucerne-bowl-dried-carrot-130gm,P1,4,4,,/pet/small-animal/peters-treat-fruit-crunch-bar-100gm,Peters Treat Lucerne Bowl Dried Carrot,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
3xx,/clothing/mens/show-jackets,P2,7,7,,/clothing/mens,Mens Competition Jacket,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/collections/ariat,P2,6,6,/brands/ariat,/,Ariat,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-rugs,P2,6,4,/horse/rugs,/news/how-to-measure-your-horse,rugs,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/saddles/jumping,P2,6,4,/horse/saddles/jumping,/news/how-to-measure-a-saddle,jumping,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/pet/food,P2,6,4,,/pet,pet food options,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/blogs/news/the-best-horse-joint-supplements-and-constituents,P2,5,5,/news/the-best-horse-joint-supplements-and-constituents,/news/how-to-tell-if-your-horse-is-overweight,joint problems,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/womens/breeches/coolmax-black-breeches-in-sizes-6-to-28-no-silicone,P2,5,5,,/clothing/womens/breeches/coolmax-jodhpurs-in-sizes-6-to-28-in-grey,CoolMax technology,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/collections/feed,P2,5,5,/horse/stable/feed,/news/how-much-is-pet-insurance-australia,pet food,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/hoof-care,P2,5,5,/horse/stable/hoof-care,/news/brewers-yeast-for-horses-benefits,improved hoof quality,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/diamond-breeches,P2,5,5,/clothing/womens/diamond-breeches,/clothing/womens/breeches/noble-breech-signature-full-seat,Diamond Breeches,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/mia-phone-pocket-breech-grey,P2,5,5,/clothing/womens/mia-phone-pocket-breech-grey,/clothing/womens/breeches/noble-breech-signature-full-seat,Grey Mia Phone Pocket Breech by QJ Riding Wear,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/millie-winter-breech,P2,5,5,/clothing/womens/millie-winter-breech,/clothing/womens/breeches/noble-breech-signature-full-seat,QJ Riding Wear Millie Winter Breech,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/clothing/mens/tops,P2,4,4,,/clothing/tops,Men's Tops Collection Browse Collection,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/collections/footwear/ariat,P2,4,4,/clothing/footwear/ariat,/news/ariat-cruiser-review,Ariat footwear,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-bandages,P2,4,4,/horse/boots/bandages,/news/diy-ice-boots-for-horses,bandaging,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/joint-supplements,P2,4,4,/horse/supplements/joint,/news/benefits-of-methylsulfonylmethane-for-horses,joint and mobility support,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
4xx,/accessories/gifts/rm-williams-script-logo-4pc-coaster-set,P2,2,2,,/accessories/gifts,RM Williams Coaster Set,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/accessories/hats/hat-cleaning-sponges-pack-of-2,P2,2,2,,/clothing/accessories/hats/toptac-english-hat-box-accessories-tan,Hat Cleaning Sponges,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/bottoms/shorts/nicholson-short-denim,P2,2,2,,/clothing/bottoms/shorts,Nicholson Short Denim,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/tops/knitwear/ariat-ballston-cardigan-l,P2,2,2,,/clothing/tops/knitwear,Ariat Ballston Cardigan,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/womens/jeans/indi-womens-high-rise-bootleg-jean,P2,2,2,,/clothing/womens/jeans,Indi Womens High Rise Bootleg Jean,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/veterinary/arcequine-leg-liners-3-pack,P2,2,2,,/horse/veterinary/arcequine-australian-charger,ArcEquine Leg Liners,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/veterinary/donation-product,P2,2,2,,/brands/eac-animal-care,No image Donation Product $8.10,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rider/helmets/accessories/cromo-2-0-configurator-cross-country-visor-options,P2,2,2,,/rider/helmets/accessories,cross country visor options,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
3xx,/clothing/accessories/beanies,P3,5,3,,/accessories/tools,beanies,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/bonnets/fly-veils,P3,5,3,,/horse/stable/fly-repellent,fly veils,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/collections/strapping/bridles,P3,5,2,/horse/tack/bridles,/news/bitless-bridle-types,SEE OUR COMPLETE BRIDLE COLLECTION,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/pages/rapid-search-results,P3,5,1,,/news/kask-kooki-lady-review,PURCHASE THE KOOKI HERE,content,Moved Permanently,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/products/ariat-boots-wexford-non-h20-chestnut-ladies,P3,5,1,/horse,/news/ariat-wexford-review,View More Info Here,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/flexible-filly-muzzle,P3,5,1,/horse/halters/flexible-filly-muzzle,/news/grazing-muzzle-for-horses,PURCHASE THE FLEXIBLE FILLY GRAZING MUZZLE,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/wormers,P3,4,3,/horse/stable/wormers,/news/how-long-do-horses-live,preventive deworming,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-rugs/winter,P3,4,3,/horse/rugs/winter,/news/how-long-do-horses-live,winter rugs,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/ariat/jeans,P3,4,2,/clothing/mens/jeans,/news/ariat-roper-boots-review,VIEW OUR ENTIRE ARIAT JEANS RANGE,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/footwear,P3,4,2,/clothing/footwear,/news/ariat-wexford-review,boot range,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/benefits-of-methylsulfonylmethane-for-horses,P3,3,3,/news/benefits-of-methylsulfonylmethane-for-horses,/news/the-best-horse-joint-supplements-and-constituents,Exploring The Benefits Of MSM For Horses,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/colic-in-horses-symptoms,P3,3,3,/news/colic-in-horses-symptoms,/news/sand-colic-in-horses,colic,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/laminitis-horse,P3,3,3,,/news/how-to-tell-if-your-horse-is-overweight,problems like laminitis,content,Moved Permanently,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/clothing/tops/base-layers,P3,3,3,,/clothing/tops,base layers,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/collections/horse-riding-helmets,P3,3,3,/rider/helmets,/news/samshield-helmet-review,helmet's,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-helmets/kask,P3,3,3,/rider/helmets,/news/samshield-helmet-review,Kask,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/pets/vitamins-and-supplements,P3,3,3,/pet/supplements,/news/how-much-is-pet-insurance-australia,supplements and medicine,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/stable/hoof-care/tubbease-hoof-sock-6-sizes,P3,3,3,,/horse/stable/hoof-care,Tubbease Hoof Sock,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/blogs/news/why-are-horses-measured-in-hands,P3,3,2,/news/why-are-horses-measured-in-hands,/news/how-to-measure-your-horse,historical origins of measuring horse height in 'hands,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-apparel,P3,3,2,/clothing,/news/horse-riding-tours,Horse riding,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-helmets/kep,P3,3,2,/rider/helmets,/news/samshield-helmet-review,KEP,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/stable/hay-feeders,P3,3,2,,/horse/stable/feeding,hay feeders,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/veterinary/wound-care,P3,3,2,,/horse/veterinary,wound care,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/accessories/brands,P3,2,2,/accessories/brands/horseware,/accessories,Brands,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/ariat-cruiser-review,P3,2,2,/news/ariat-cruiser-review,/news/ariat-devon-boot-review,Ariat Cruiser shoes,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/ariat-jeans-review,P3,2,2,/news/ariat-jeans-review,/news/ariat-roper-boots-review,article on Ariat jeans,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/ariat-roper-boots-review,P3,2,2,/news/ariat-roper-boots-review,/news/ariat-jeans-review,review of the Ariat roper boots,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/ariat-wexford-review,P3,2,2,/news/ariat-wexford-review,/news/ariat-devon-boot-review,Ariat Wexford boots,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/greasy-heel-treatment,P3,2,2,/news/greasy-heel-treatment,/news/horse-skin-conditions,greasy heel,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/horse-skin-conditions,P3,2,2,/news/horse-skin-conditions,/news/rain-scald-in-horses,skin condition,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/how-to-tell-if-your-horse-is-overweight,P3,2,2,/news/how-to-tell-if-your-horse-is-overweight,/news/the-best-horse-joint-supplements-and-constituents,overweight horses,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/hyaluronic-acid-for-horses-side-effects,P3,2,2,/news/hyaluronic-acid-for-horses-side-effects,/news/the-best-horse-joint-supplements-and-constituents,hyaluronic acid,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/blogs/news/psyllium-husk-for-horses,P3,2,2,/news/psyllium-husk-for-horses,/news/sand-colic-in-horses,natural laxative like psyllium husk,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/bare-equestrian,P3,2,2,/brands/bare-equestrian,/,BARE Equestrian,homepage_content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-boots/ice,P3,2,2,/horse/boots/ice-boots,/news/diy-ice-boots-for-horses,ice boots,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-grooming-supplies,P3,2,2,/horse/grooming,/news/horse-skin-conditions,Grooming equipment,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-grooming-supplies/shampoo,P3,2,2,/horse/grooming/shampoo,/news/horse-skin-conditions,Medicated shampoo,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-health/fly-veils-and-hoods,P3,2,2,/horse/bonnets/fly-veils,/news/horse-skin-conditions,insect repellents,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-apparel/ariat-breeches,P3,2,2,/clothing/womens/breeches,/news/ariat-roper-boots-review,Ariat breeches collection,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/horse-riding-helmets/charles-owen,P3,2,2,/rider/helmets,/news/samshield-helmet-review,Charles Owen,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/pets/dog-collars,P3,2,2,/pet/dog/collars-and-leads,/news/how-to-measure-dog-collar,your dog's collar,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/saddle-pads,P3,2,2,/horse/pads,/news/saddle-pads-storage-ideas,your saddle pads,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/collections/saddles,P3,2,2,/horse/saddles,/news/equestrian-olympic-history,CLICK HERE TO VIEW ALL SADDLES,content,Moved Permanently,Replace all internal links pointing to bad_url with recommended_url
3xx,/horse/bonnets/fly-masks/flyveils-by-design-100-uv-nose,P3,2,2,,/horse/bonnets/flyveils-by-design-flymask-fur-trim-nose,Flyveils By Design 100% UV Nose Protection,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/tack/breastplates-martingales,P3,2,2,,/horse/tack,breastplates,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/products/in-fibre-psyllium-husk-for-horses-dogs-cats,P3,2,2,/horse/supplements/in-fibre-psyllium-husk-for-horses-dogs-cats,/news/psyllium-husk-for-horses,particularly sand colic,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/in-fusion-ha-high-quality-hyaluronic-acid-supplement-for-horses-dogs,P3,2,2,/horse/supplements/in-fusion-ha-high-quality-hyaluronic-acid-supplement-for-horses-dogs,/news/hyaluronic-acid-for-horses-side-effects,in-fusion HA - Our top HA supplement recommendation,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/in-fusion-msm-ultra-pure-methylsulfonylmethane-joint-supplement-for-horses-dogs-cats,P3,2,2,/horse/supplements/in-fusion-msm-ultra-pure-methylsulfonylmethane-joint-supplement-for-horses-dogs-cats,/news/benefits-of-methylsulfonylmethane-for-horses,Our MSM For Horses Recommendation,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/rapigel,P3,2,2,/horse/veterinary/rapigel,/news/benefits-of-methylsulfonylmethane-for-horses,anti-inflammatory,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/accessories/homeware,P3,2,1,,/accessories/tools,homeware collection,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/bits/pelham-bits,P3,2,1,,/horse/bits,Pelham bits,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/halters/breakaway,P3,2,1,,/horse/halters,breakaway halters,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/tack/browbands,P3,2,1,,/horse/tack/nosebands,browbands,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/tack/freejump-stirrups,P3,2,1,,/horse/tack/stirrups,Freejump Stirrups,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/horse/veterinary/therapy-equipment,P3,2,1,,/horse/veterinary,therapy equipment,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/products/4cyte-equine-epiitalis-gel,P3,2,1,/horse/supplements/4cyte-equine-epiitalis-gel,/news/epitalis-review,4Cyte Epiitalis Forte Gel for horses,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ariat-boots-devon-iv-light-brown-youth,P3,2,1,/horse,/news/ariat-devon-boot-review,Purchase Them Here,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/kelato-quikheal-200gm,P3,2,1,/horse/veterinary/first-aid/kelato-quikheal-200gm,/news/greasy-heel-treatment,Quickheal,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/stance-equitec-ulcabuf,P3,2,1,/horse/supplements/stance-equitec-ulcabuf,/news/ulcer-treatments-for-horses,Stance UlcaBuf,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
4xx,/news/Psyllium%20Husk,P3,2,1,,/news/psyllium-husk-for-horses,p,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
3xx,/,P3,1,1,,/privacy-policy,theequestrian.com.au,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/>https://www.theequestrian.com.au/blogs/news/best-horse-supplements,P3,1,1,,/news/hyaluronic-acid-for-horses-side-effects,before giving your horse any supplements,content,Permanent Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/>https:/www.theequestrian.com.au/blogs/news/best-horse-supplements,P3,1,1,/horse,/>https://www.theequestrian.com.au/blogs/news/best-horse-supplements,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/a/skin-and-wound-care/eac/sa/tanunda/in-silver-spray-on-bandage-for-horses-cattle-dogs-other-pets-animals/100002297,P3,1,1,/horse,/news/horse-spray-on-bandage-application-in-silver-eac-animal-care,,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/a/vitamins-and-supplements/kohnke-s-own/nsw/tuggerah/kohnke-s-own-mag-e/100000443,P3,1,1,/horse,/news/best-horse-supplements,,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/accessories/brands/horseware,P3,1,1,,/accessories/brands,,other,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/accessories/collectibles/resin,P3,1,1,,/accessories/collectibles,Resin Collectibles for Equestrian Enthusiasts,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/blog/horse-rug-size-chart,P3,1,1,/horse,/news/best-winter-horse-rugs,choosing the right rug size for your horse,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
