issue_type,priority,Source,source_path,Destination,dest_path,recommended_url,Anchor,Status Code,Status,Link Position,Link Origin,Link Path,source_class,unique_sources_for_dest,old_path,new_path,origin
3xx,P3,https://www.theequestrian.com.au/,/,https://www.theequestrian.com.au/collections/ps-of-sweden,/collections/ps-of-sweden,/brands/ps-of-sweden,PS of Sweden,301,Moved Permanently,Content,HTML,//body/main/div/section[5]/div/div/article[4]/div[3]/p[2]/a[4],homepage_content,1,/collections/ps-of-sweden,/brands/ps-of-sweden,collections_csv
3xx,P3,https://www.theequestrian.com.au/,/,https://www.theequestrian.com.au/horse/pads/cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,/horse/pads/cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,/horse/pads/dressage/cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,On Sale Cavalleria Toscana All Over Embroidery Saddle Pad- Dressage $209.00 (was $299.95) ★★★★★ 5.0 (1),308,Permanent Redirect,Content,HTML,//body/main/div/section[3]/div/div[2]/div[3]/a,homepage_content,1,/horse/pads/cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,/horse/pads/dressage/cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,manual_redirects
3xx,P3,https://www.theequestrian.com.au/,/,https://www.theequestrian.com.au/collections/cavalleria-toscana,/collections/cavalleria-toscana,/brands/cavalleria-toscana,Cavalleria Toscana,301,Moved Permanently,Content,HTML,//body/main/div/section[5]/div/div/article[4]/div[3]/p[2]/a[6],homepage_content,1,/collections/cavalleria-toscana,/brands/cavalleria-toscana,collections_csv
3xx,P3,https://www.theequestrian.com.au/,/,https://www.theequestrian.com.au/collections/bare-equestrian,/collections/bare-equestrian,/brands/bare-equestrian,BARE Equestrian,301,Moved Permanently,Content,HTML,//body/main/div/section[5]/div/div/article[4]/div[3]/p[2]/a[7],homepage_content,2,/collections/bare-equestrian,/brands/bare-equestrian,collections_csv
3xx,P3,https://www.theequestrian.com.au/news/best-boots-for-horse-riding,/news/best-boots-for-horse-riding,https://www.theequestrian.com.au/collections/bare-equestrian,/collections/bare-equestrian,/brands/bare-equestrian,BARE Equestrian clothing,301,Moved Permanently,Content,HTML,//body/main/div/div/div/div[@class='lg:col-span-2']/article/div[@class='article-content']/p[27]/a,content,2,/collections/bare-equestrian,/brands/bare-equestrian,collections_csv
3xx,P1,https://www.theequestrian.com.au/,/,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/contact,/contact,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse/stable/diy/diy-kit-for-stainless-steel-30mm-locket-rose-gold,/horse/stable/diy/diy-kit-for-stainless-steel-30mm-locket-rose-gold,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/terms-of-service,/terms-of-service,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse/boots/float,/horse/boots/float,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse/stable/treats,/horse/stable/treats,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse/tack/girths,/horse/tack/girths,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/privacy-policy,/privacy-policy,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse/supplements,/horse/supplements,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/on-sale,/on-sale,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse/saddles,/horse/saddles,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse/bits,/horse/bits,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
3xx,P1,https://www.theequestrian.com.au/horse,/horse,https://www.theequestrian.com.au/products,/products,/horse/grooming/products,All Products,308,Permanent Redirect,Footer,HTML,//body/footer/div/div[1]/div[1]/ul/li[6]/a,footer,6020,/products,/horse/grooming/products,manual_redirects
