title,handle,url,products_count,rules
Accessories,accessories,/collections/accessories,"{""count"":72}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""other accessories""},{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""accessories""}]"
Ascot Saddlery,ascot-saddlery,/collections/ascot-saddlery,"{""count"":4658}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Ascot Saddlery""}]"
AZA Equestrian,aza-equestrian,/collections/aza-equestrian,"{""count"":0}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""AZA Equestrian""}]"
BLACK FRIDAY DEALS 2022,black-friday-deals-for-equestrians,/collections/black-friday-deals-for-equestrians,"{""count"":0}",Manual Collection
Books - Fiction & Non Fiction,horse-books,/collections/horse-books,"{""count"":15}",Manual Collection
Bridles & Strapping - Top Brands For All Disciplines,strapping,/collections/strapping,"{""count"":430}",Manual Collection
Bucas Australia,bucas-australia,/collections/bucas-australia,"{""count"":0}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Bucas Australia""}]"
Buy Horse Riding Helmets For Equestrians,horse-riding-helmets,/collections/horse-riding-helmets,"{""count"":149}",Manual Collection
Buy Western Saddles,westerns-saddles-usa,/collections/westerns-saddles-usa,"{""count"":1}",Manual Collection
CAN Animal Care,can-animal-care,/collections/can-animal-care,"{""count"":1}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""CAN Animal Care""}]"
Cavalor Equicare,cavalor-equicare,/collections/cavalor-equicare,"{""count"":21}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Cavalor Equicare""}]"
"Competition, Training & Casual - Horse Riding Clothes",horse-riding-apparel,/collections/horse-riding-apparel,"{""count"":1428}",Manual Collection
Dapple EQ,dapple-eq,/collections/dapple-eq,"{""count"":343}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Dapple EQ""}]"
Diamond Deluxe Horsewear,diamond-deluxe-horsewear,/collections/diamond-deluxe-horsewear,"{""count"":13}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Diamond Deluxe Horsewear""}]"
EAC Animal Care,eac-animal-care,/collections/eac-animal-care,"{""count"":17}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""EAC Animal Care""}]"
Ego 7,ego-7,/collections/ego-7,"{""count"":24}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""ego 7""}]"
ELT  Equestrian,elt,/collections/elt,"{""count"":28}","[{""column"":""TAG"",""relation"":""EQUALS"",""condition"":""elt""}]"
Exclusively Equine,exclusively-equine,/collections/exclusively-equine,"{""count"":1816}","[{""column"":""VENDOR"",""relation"":""EQUALS"",""condition"":""Exclusively Equine""}]"
