shopify_id,handle,title,old_canonical,new_canonical,redirect_required,redirect_from,redirect_to,category_path,parent_categories,brand_pages,status,error_message
gid://shopify/Product/6930798870609,shanga-mesh-combo,Shanga Mesh Combo,/horse/rugs/shanga-mesh-combo,/horse/rugs/mesh/shanga-mesh-combo,1,/horse/rugs/shanga-mesh-combo,/horse/rugs/mesh/shanga-mesh-combo,/horse/rugs/mesh,"[""/horse/rugs"",""/horse""]",[],success,
gid://shopify/Product/6930798936145,shanga-towel-rug,Shanga Towel Rug,/horse/rugs/shanga-towel-rug,/horse/rugs/shanga-towel-rug,,,,/horse/rugs,"[""/horse""]",[],success,
gid://shopify/Product/6931726008401,007-mineral-salt-blocks,007 Mineral Salt Blocks by Essential Minerals - Get a Quote Today,/horse/stable/007-mineral-salt-blocks,/horse/veterinary/007-mineral-salt-blocks,1,/horse/stable/007-mineral-salt-blocks,/horse/veterinary/007-mineral-salt-blocks,/horse/veterinary,"[""/horse""]",[],success,
gid://shopify/Product/6935106814033,ca-coolite-rug,Coolite Show Rug CA,/horse/rugs/ca-coolite-rug,/horse/rugs/ca-coolite-rug,,,,/horse/rugs,"[""/horse""]",[],success,
gid://shopify/Product/6935126278225,eureka-mini-canvas-rug,Canvas Mini Rug - Eureka,/horse/rugs/eureka-mini-canvas-rug,/horse/rugs/eureka-mini-canvas-rug,,,,/horse/rugs,"[""/horse""]",[],success,
gid://shopify/Product/6935126310993,eureka-mini-synthetic-combo,Synthetic Combo Horse Rug - Eureka Mini,/horse/rugs/eureka-mini-synthetic-combo,/horse/rugs/eureka-mini-synthetic-combo,,,,/horse/rugs,"[""/horse""]",[],success,
gid://shopify/Product/6935126343761,hamilton-canvas-rugs,Hamilton Show Rug Canvas,/horse/rugs/hamilton-canvas-rugs,/horse/rugs/hamilton-canvas-rugs,,,,/horse/rugs,"[""/horse""]",[],success,
gid://shopify/Product/6935126376529,collar-check-rug-hood-and-tail-bag-set,"Check Collar Show Rug, Hood, and Tail Bag Set",/horse/rugs/collar-check-rug-hood-and-tail-bag-set,/horse/rugs/collar-check-rug-hood-and-tail-bag-set,,,,/horse/rugs,"[""/horse""]",[],success,
gid://shopify/Product/6935126409297,kentucky-horsewear-heavy-fleece-rug,Heavy Fleece Show Kentucky Horse Rug From Horsewear,/horse/rugs/kentucky-horsewear-heavy-fleece-rug,/horse/rugs/kentucky-horsewear-heavy-fleece-rug,,,,/horse/rugs,"[""/horse""]","[""/brands/kentucky"",""/brands/horseware-australia""]",success,
gid://shopify/Product/6935126442065,kentucky-horsewear-magnetic-rug-recuptex,Kentucky Horsewear Recuptex Magnetic Horse Boots,/horse/rugs/kentucky-horsewear-magnetic-rug-recuptex,/horse/boots/therapy/kentucky-horsewear-magnetic-rug-recuptex,1,/horse/rugs/kentucky-horsewear-magnetic-rug-recuptex,/horse/boots/therapy/kentucky-horsewear-magnetic-rug-recuptex,/horse/boots/therapy,"[""/horse/boots"",""/horse""]","[""/brands/kentucky""]",success,
gid://shopify/Product/6935126474833,kentucky-horsewear-mesh-cooler-combo,Kentucky Horsewear's Mesh Cooler Combo Show Rug,/horse/rugs/kentucky-horsewear-mesh-cooler-combo,/horse/rugs/kentucky-horsewear-mesh-cooler-combo,,,,/horse/rugs,"[""/horse""]","[""/brands/kentucky""]",success,
