handle,title,product_type,current_category_path
"ariat-gear-bag","Ariat Bag for All Your Gear","Accessories - Luggage","/rider/luggage/ariat"
"ariat-mini-carry-all-navy","Ariat Mini Carry All Navy","Wallets & Handbags","/rider/luggage/ariat"
"ariat-team-tall-boot-bag","Ariat Tall Boot Bag - Perfect for Your Team","Boots - Boot Accessories","/rider/luggage/ariat"
"ariat-team-tall-boot-bag-navy","Ariat Team Tall Boot Bag Navy","Gear Bag","/rider/luggage/ariat"
"ariat-uni-vanity-bag-sunflower","Ariat Uni Vanity Bag Sunflower","Accessories","/rider/luggage/ariat"
"ariat-work-cooler-bag","Ariat Work Cooler Bag","","/rider/luggage/ariat"
"bi-fold-wallet-basket-weave-overlay","BI-FOLD WALLET - BASKET WEAVE OVERLAY","","/rider/luggage/ariat"
"junior-gear-bag","JUNIOR GEAR BAG","General","/rider/luggage/ariat"
"luggage-ariat-gear-bag-pvc-black","Luggage Ariat Gear Bag Pvc Black","RIDER: Luggage","/rider/luggage/ariat"
"luggage-backpack-ariat-ring-black","Ariat Black Backpack Bag for Carrying Luggage","RIDER: Luggage","/rider/luggage/ariat"
"luggage-boot-bag-ariat-team-navy","Team Navy Ariat Boot Bag for Luggage.","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-junior-black","Junior Black Gear Bag by Ariat","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-junior-pink-charcoal","Junior Pink & Charcoal Ariat Gear Bag for Luggage","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-large-black","Ariat Large Black Gear Bag - Travel Luggage","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-large-cobalt-black","Ariat Large Cobalt & Black Gear Bag - A Spacious Luggage for Your Essentials","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-large-green-black","Large Green & Black Ariat Gear Bag","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-large-pink-charcoal","Ariat Large Pink & Charcoal Luggage Gear Bag","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-large-purple-black","Ariat Gear Bag - Large Purple & Black Luggage","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-large-red-navy","Large Red & Navy Ariat Gear Bag: A Convenient Luggage Bag","RIDER: Luggage","/rider/luggage/ariat"
"luggage-gear-bag-ariat-large-turquoise-brown","Large Turquoise & Brown Ariat Gear Bag","RIDER: Luggage","/rider/luggage/ariat"
