handle,title,vendor,product_type,current_category_path,mapped_category_path,verdict,correct_category_path,notes,product_id,canonical_path
cavalleria-toscana-ct-wool-beanie,Cavalleria Toscana CT Wool beanie,Trailrace,Clothing - Ladies Clothing,/clothing/accessories/hats,/clothing/womens,correct,,,gid://shopify/Product/10641435951396,/clothing/accessories/hats/cavalleria-toscana-ct-wool-beanie
cavalleria-toscana-wool-beanie,Cavalleria Toscana Wool Beanie,Trailrace,Clothing - Ladies Clothing,/clothing/accessories/hats,/clothing/womens,correct,,,gid://shopify/Product/10641449779492,/clothing/accessories/hats/cavalleria-toscana-wool-beanie
noble-outfitters-peddies-girls,Noble Outfitters Peddies - Girls,Trailrace,Clothing - Kid's Clothing,/clothing/accessories/socks,/clothing/kids,correct,,,gid://shopify/Product/10641429954852,/clothing/accessories/socks/noble-outfitters-peddies-girls
samshield-mens-tie,Samshield Men's Tie,Trailrace,Clothing - Men's Clothing,/clothing/accessories/ties,/clothing/mens,correct,,,gid://shopify/Product/10641424154916,/clothing/accessories/ties/samshield-mens-tie
samshield-mens-tie-blazon,Samshield Men's Tie - Blazon,Trailrace,Clothing - Men's Clothing,/clothing/accessories/ties,/clothing/mens,correct,,,gid://shopify/Product/10641454792996,/clothing/accessories/ties/samshield-mens-tie-blazon
ariat-durayard-h20-ladies,Ariat Durayard H20 - Ladies,Trailrace,Boots,/clothing/footwear/casual,/clothing/footwear/boots,correct,,,gid://shopify/Product/10641413439780,/clothing/footwear/casual/ariat-durayard-h20-ladies
ariat-ladies-portland,Ariat Ladies Portland,Trailrace,Boots,/clothing/footwear/casual,/clothing/footwear/boots,correct,,,gid://shopify/Product/10641462264100,/clothing/footwear/casual/ariat-ladies-portland
ariat-mens-ralley,Ariat Mens Ralley,Trailrace,Boots,/clothing/footwear/casual,/clothing/footwear/boots,correct,,,gid://shopify/Product/10641460920612,/clothing/footwear/casual/ariat-mens-ralley
ariat-heritage-iv-zip-ladies,Ariat Heritage IV Zip - Ladies,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots,correct,,,gid://shopify/Product/10641414684964,/clothing/footwear/riding-boots/ariat-heritage-iv-zip-ladies
ego7-orion-long-boot-laces-black-size-34-39,Ego7 Orion Long Boot Laces - Black - Size 34-39,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots/,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641405706532,/clothing/footwear/riding-boots/ego7-orion-long-boot-laces-black-size-34-39
