Handle,Title,Product Count,Parent Collection,Product Types,Product Type Counts
horse-grooming-supplies,"Horse Grooming Gear & Accessories",250,,"Accessories; Veterinary; STABLE: Show Preparation; Coat, Hoof & Grooming; (No Product Type); Fly Control; Horse Grooming Combs, Brushes & Mitts; STABLE: Grooming; STABLE: Leather Care & Proofing; Horse Grooming; Health Care; Shampoo; Storage; STABLE: Hoof Care; Care Products; Luggage; Grooming; Hoof Care; Dog Grooming & Coat Care; Small Animal; STABLE: First Aid & Dressings; STABLE: Supplements; Cat Potions & Lotions; Dog Potions & Lotions; Dog Wormer & Flea; Strapping - Halters; Care","Accessories: 1; Veterinary: 13; STABLE: Show Preparation: 51; Coat, Hoof & Grooming: 4; (No Product Type): 32; Fly Control: 1; Horse Grooming Combs, Brushes & Mitts: 27; STABLE: Grooming: 54; STABLE: Leather Care & Proofing: 7; Horse Grooming: 3; Health Care: 2; Shampoo: 1; Storage: 1; STABLE: Hoof Care: 10; Care Products: 2; Luggage: 1; Grooming: 3; Hoof Care: 2; Dog Grooming & Coat Care: 20; Small Animal: 1; STABLE: First Aid & Dressings: 3; STABLE: Supplements: 1; Cat Potions & Lotions: 1; Dog Potions & Lotions: 1; Dog Wormer & Flea: 3; Strapping - Halters: 2; Care: 3"
horse-health,"Horse Health & Nutrition",250,,"probiotics; Veterinary; Horse Supplements; Accessories; STABLE: Wormers; Fly Control; Pet Supplements; Feed Supplements; (No Product Type); HORSE: Flyveils & Bonnets; STABLE: First Aid & Dressings; STABLE: Horse Treats & Toys; STABLE: Supplements; Health Care; Fly Mask; STABLE: Hoof Care; Care; Supplements; Horse Grooming; Ear Net; fly bonnet; Fly Veil; Horse Boots; Stable Accessories; Dog Treats; HORSE: Horse Boots; STABLE: Farrier; STABLE: Stable Equipment; STABLE: Instruments; Dog Potions & Lotions","probiotics: 1; Veterinary: 57; Horse Supplements: 5; Accessories: 9; STABLE: Wormers: 6; Fly Control: 9; Pet Supplements: 2; Feed Supplements: 23; (No Product Type): 2; HORSE: Flyveils & Bonnets: 13; STABLE: First Aid & Dressings: 18; STABLE: Horse Treats & Toys: 14; STABLE: Supplements: 36; Health Care: 8; Fly Mask: 4; STABLE: Hoof Care: 7; Care: 1; Supplements: 1; Horse Grooming: 1; Ear Net: 4; fly bonnet: 1; Fly Veil: 11; Horse Boots: 2; Stable Accessories: 1; Dog Treats: 1; HORSE: Horse Boots: 2; STABLE: Farrier: 3; STABLE: Stable Equipment: 1; STABLE: Instruments: 2; Dog Potions & Lotions: 5"
saddle-pads,"Saddle Blankets, Pads & Squares",250,,"(No Product Type); Saddle Cloths; Wither relief saddlepad; Western Pads; saddle pad; Saddle Pads & Blankets; Saddles; Saddles - Saddle Accessories; Saddle Pad; Saddle cloths; Saddle Cloth; saddle pads; Saddlepad; HORSE: Saddlecloths; HORSE: Wither & Back Pads; SADDLES: All Purpose Saddles; half pad; Boots; RIDER: Chapettes & Gaiters; Horse Boots; Half Pads; Saddlepads; Shetland Pony","(No Product Type): 24; Saddle Cloths: 110; Wither relief saddlepad: 1; Western Pads: 10; saddle pad: 4; Saddle Pads & Blankets: 2; Saddles: 2; Saddles - Saddle Accessories: 2; Saddle Pad: 19; Saddle cloths: 1; Saddle Cloth: 1; saddle pads: 1; Saddlepad: 4; HORSE: Saddlecloths: 37; HORSE: Wither & Back Pads: 12; SADDLES: All Purpose Saddles: 2; half pad: 1; Boots: 1; RIDER: Chapettes & Gaiters: 1; Horse Boots: 1; Half Pads: 3; Saddlepads: 10; Shetland Pony: 1"
horse-riding-apparel,"Competition, Training & Casual - Horse Riding Clothes",250,,"Breeches; Helmet Brim; Sleepwear; belts; Clothing - Clothing Accessories; Jodhpurs; Clothing; Clothing - Ladies Clothing; top; Riding Apparel & Accessories; RIDER: Gloves; Clothing - Kid's Clothing; Ultimate Tights; Shirt; HORSE: Number Holders; CLOTHING: Hats & Caps; Jewellery; Stirrup Irons; Boots; Active Tights; shirt; breeches; shirts; beanies; Equestrian; Breeches & Riding Tights; CLOTHING: Clothing Childs; CLOTHING: Clothing Ladies; STABLE: Farrier; CLOTHING: Jodhpurs & Breeches Ladies; t-shirt; jumper; Stirrup Irons - Stirrup Accessories; Belt; (No Product Type); Gloves; Clothing - Men's Clothing; Saddle Cloths; Accessories; accessoriess; Outerwear; Active tights; cap; stock; Sweater; socks; Top; jacket; Gift Card","Breeches: 29; Helmet Brim: 1; Sleepwear: 1; belts: 2; Clothing - Clothing Accessories: 11; Jodhpurs: 5; Clothing: 12; Clothing - Ladies Clothing: 79; top: 1; Riding Apparel & Accessories: 1; RIDER: Gloves: 4; Clothing - Kid's Clothing: 8; Ultimate Tights: 2; Shirt: 2; HORSE: Number Holders: 4; CLOTHING: Hats & Caps: 2; Jewellery: 1; Stirrup Irons: 6; Boots: 3; Active Tights: 3; shirt: 4; breeches: 5; shirts: 2; beanies: 1; Equestrian: 2; Breeches & Riding Tights: 3; CLOTHING: Clothing Childs: 1; CLOTHING: Clothing Ladies: 1; STABLE: Farrier: 1; CLOTHING: Jodhpurs & Breeches Ladies: 2; t-shirt: 1; jumper: 1; Stirrup Irons - Stirrup Accessories: 1; Belt: 2; (No Product Type): 10; Gloves: 9; Clothing - Men's Clothing: 9; Saddle Cloths: 1; Accessories: 2; accessoriess: 1; Outerwear: 1; Active tights: 1; cap: 1; stock: 2; Sweater: 2; socks: 1; Top: 1; jacket: 4; Gift Card: 1"
strapping,"Bridles & Strapping - Top Brands For All Disciplines",250,,"Strapping - Reins; Strapping - Breast Plates; HORSE: Stock & Western; Stirrup Irons; HORSE: Stirrup Leathers; HORSE: Reins; HORSE: Racing & PVC; HORSE: Lungeing & Schooling; HORSE: Bridles; Strapping - Girths; Girth Loop Adjustable; Strapping - Halters; Stirrup Irons - Stirrup Accessories; Gloves; Strapping - Strapping Accessories; Strapping - Bridles - Bridle Accessories; Strapping - Bridles; Strapping - Martingales; Accessories; (No Product Type); Racing; Dog Accessories; STABLE: Grooming; HORSE: Stirrup Irons; STABLE: Stable Equipment; HORSE: Girths; HORSE: Nosebands & Browbands; HORSE: Breastplates & Martingales; Dog Collars & Leads; RIDER: Giftware; HORSE: Bits; Bridles; breastplate; Reins; Stirrup Leathers; Girths","Strapping - Reins: 3; Strapping - Breast Plates: 1; HORSE: Stock & Western: 8; Stirrup Irons: 7; HORSE: Stirrup Leathers: 3; HORSE: Reins: 18; HORSE: Racing & PVC: 28; HORSE: Lungeing & Schooling: 3; HORSE: Bridles: 19; Strapping - Girths: 29; Girth Loop Adjustable: 1; Strapping - Halters: 14; Stirrup Irons - Stirrup Accessories: 1; Gloves: 1; Strapping - Strapping Accessories: 1; Strapping - Bridles - Bridle Accessories: 1; Strapping - Bridles: 3; Strapping - Martingales: 1; Accessories: 1; (No Product Type): 1; Racing: 4; Dog Accessories: 1; STABLE: Grooming: 3; HORSE: Stirrup Irons: 28; STABLE: Stable Equipment: 1; HORSE: Girths: 3; HORSE: Nosebands & Browbands: 11; HORSE: Breastplates & Martingales: 15; Dog Collars & Leads: 5; RIDER: Giftware: 1; HORSE: Bits: 1; Bridles: 12; breastplate: 5; Reins: 10; Stirrup Leathers: 1; Girths: 5"
pets,"Pets - Products For Dogs, Cats, & Other Small Animals",250,,"Pet Supplements; Horse Supplements; Dog Collars & Leads; Dog Toys; Dog Wormer & Flea; STABLE: Show Preparation; STABLE: Supplements; Animals & Pet Supplies; Dog Rugs & Fashion; Dog Treats; Cat Gyms & Toys; Dog Accessories; STABLE: First Aid & Dressings; Dog Potions & Lotions; Dog Walking; Dog Bedding; Veterinary; Dog Grooming & Coat Care; Cat Food & Treats; Pet; Fly Control; STABLE: Clippers; Bird Potions & Lotions","Pet Supplements: 2; Horse Supplements: 2; Dog Collars & Leads: 28; Dog Toys: 27; Dog Wormer & Flea: 8; STABLE: Show Preparation: 1; STABLE: Supplements: 4; Animals & Pet Supplies: 1; Dog Rugs & Fashion: 12; Dog Treats: 30; Cat Gyms & Toys: 1; Dog Accessories: 24; STABLE: First Aid & Dressings: 2; Dog Potions & Lotions: 9; Dog Walking: 16; Dog Bedding: 1; Veterinary: 1; Dog Grooming & Coat Care: 20; Cat Food & Treats: 5; Pet: 51; Fly Control: 1; STABLE: Clippers: 3; Bird Potions & Lotions: 1"
trailrace-equestrian-outfitters,"Trailrace Equestrian Outfitters",250,,"Horse Rugs; Clothing - Clothing Accessories; Veterinary; Boots; Saddle Pad; Fly Control; Clothing; Clothing - Ladies Clothing; Strapping - Reins; Strapping - Strapping Accessories; Saddle Cloths; Feed Supplements; Strapping - Halters; Horse Boots; Spurs & Straps; Bits; Clothing - Kid's Clothing; Strapping - Breast Plates; Helmets; Racing; Girth Accessories; Accessories - Luggage; Stirrup Irons; Bits - Bit Accessories; Horse Rugs - Rug Accessories; Gloves; Strapping - Girths; Strapping - Girths - Girth Accessories; Halters; Care; Stirrup Irons - Stirrup Accessories; Spurs & Straps - Spurs Accessories; Saddles; Luggage; Clothing - Men's Clothing; Boots - Boot Accessories; Strapping - Bridles - Bridle Accessories; Strapping - Bridles; Strapping - Martingales; Western Pads; saddle pads; Helmet; Grooming","Horse Rugs: 17; Clothing - Clothing Accessories: 7; Veterinary: 32; Boots: 10; Saddle Pad: 2; Fly Control: 12; Clothing: 5; Clothing - Ladies Clothing: 28; Strapping - Reins: 3; Strapping - Strapping Accessories: 2; Saddle Cloths: 13; Feed Supplements: 7; Strapping - Halters: 4; Horse Boots: 12; Spurs & Straps: 5; Bits: 18; Clothing - Kid's Clothing: 8; Strapping - Breast Plates: 1; Helmets: 12; Racing: 2; Girth Accessories: 1; Accessories - Luggage: 1; Stirrup Irons: 6; Bits - Bit Accessories: 1; Horse Rugs - Rug Accessories: 2; Gloves: 6; Strapping - Girths: 4; Strapping - Girths - Girth Accessories: 1; Halters: 1; Care: 1; Stirrup Irons - Stirrup Accessories: 1; Spurs & Straps - Spurs Accessories: 1; Saddles: 1; Luggage: 3; Clothing - Men's Clothing: 4; Boots - Boot Accessories: 1; Strapping - Bridles - Bridle Accessories: 1; Strapping - Bridles: 3; Strapping - Martingales: 1; Western Pads: 3; saddle pads: 1; Helmet: 5; Grooming: 1"
dapple-eq,"Dapple EQ",250,,"Bag; quarter guard; Fly Mask; Breeches; Horse Boots & Leg Wraps; Travel Boots; Ladies Breeches; riding rug; backpack; stable Bag; Saddle Pads & Blankets; LADIES SHIRT; beanie; grooming; plaiting kit; brush; horse care; Saddle Pad; saddle pad; Shorts; Boots; jumper; Shirt; Belts; HAT; hats; Competition Jacket; UGG Boots; Care Products; Lead Rope; Hats; Wallet; Accessories; Fly Veil; Ankle Boots; Show Shirt; Horse Boots; Fetlock boots; Tendon Boots; breeches; casual footwear; Casual Jacket; t-shirt; Polo Shirt; Sweater; Apparel & Accessories; Shirts & Tops; TShirt; shirt; Boys Show Shirt; Polo Top; Socks; Mens Show Shirt; Halter; Horse Halters; Halter Set; Equestrian Helmets; Knitwear; Cap; Mens Competition Jacket; Trousers; Jeans; jacket; Boys Competition Jacket; Girls Breeches; long sleeve; Mens Breeches; Girls Competition Jacket; ladies jacket; Scarf","Bag: 5; quarter guard: 1; Fly Mask: 6; Breeches: 20; Horse Boots & Leg Wraps: 1; Travel Boots: 1; Ladies Breeches: 10; riding rug: 1; backpack: 1; stable Bag: 1; Saddle Pads & Blankets: 1; LADIES SHIRT: 1; beanie: 2; grooming: 5; plaiting kit: 1; brush: 5; horse care: 5; Saddle Pad: 10; saddle pad: 1; Shorts: 1; Boots: 1; jumper: 2; Shirt: 5; Belts: 13; HAT: 10; hats: 2; Competition Jacket: 9; UGG Boots: 1; Care Products: 11; Lead Rope: 2; Hats: 1; Wallet: 1; Accessories: 6; Fly Veil: 20; Ankle Boots: 3; Show Shirt: 11; Horse Boots: 1; Fetlock boots: 2; Tendon Boots: 3; breeches: 1; casual footwear: 2; Casual Jacket: 2; t-shirt: 3; Polo Shirt: 3; Sweater: 4; Apparel & Accessories: 1; Shirts & Tops: 1; TShirt: 2; shirt: 1; Boys Show Shirt: 2; Polo Top: 1; Socks: 10; Mens Show Shirt: 2; Halter: 4; Horse Halters: 1; Halter Set: 1; Equestrian Helmets: 1; Knitwear: 5; Cap: 2; Mens Competition Jacket: 2; Trousers: 1; Jeans: 4; jacket: 2; Boys Competition Jacket: 2; Girls Breeches: 2; long sleeve: 1; Mens Breeches: 1; Girls Competition Jacket: 1; ladies jacket: 1; Scarf: 1"
ascot-saddlery,"Ascot Saddlery",250,,"HORSE RUG CLEARANCE; Bird Food & Treats; STABLE: Wormers; RUGS: Winter Rugs, Neck Rugs & Hoods; STABLE: Show Preparation; STABLE: Grooming; RIDER: Gloves; RIDER: Body Protectors; HORSE: Flyveils & Bonnets; Cat Gyms & Toys; Dog Rugs & Fashion; HORSE: Number Holders; STABLE: First Aid & Dressings; Dog Accessories; RUGS: Summer Rugs, Neck Rugs & Hoods; Dog Collars & Leads; RIDER: Whips; STABLE: Stable Equipment; HORSE: Stock & Western; Dog Toys; Dog Wormer & Flea; STABLE: Horse Treats & Toys; STABLE: Leather Care & Proofing; STABLE: Supplements; STABLE: Feed Bins & Hay Bags; RIDER: Helmets; HORSE: Headstalls; HORSE: Horse Boots; RIDER: Giftware; RUGS: Rug Accessories; FOOTWEAR: Western & Roper Boots; CLOTHING: Hats & Caps; CLOTHING: Socks; STABLE: Clippers; Dog Kennels Carriers & Pens; HORSE: Lungeing & Schooling; FOOTWEAR CLEARANCE; RIDER: Luggage; SADDLES: All Purpose Saddles; Small Animal; Dog Treats; STABLE: Hoof Care; HORSE: Stirrup Leathers; SADDLES: Saddle Accessories & Gullets; STABLE: Farrier; RIDER: Spurs & Straps; HORSE: Leads & Snap Hooks; HORSE: Saddlecloths; HORSE: Bits; HORSE: Reins; HORSE: Racing & PVC; STABLE: Ice Boots; CLOTHING: Clothing Childs; CLOTHING: Clothing Ladies; CLOTHING: Jodhpurs & Breeches Childs; Dog Potions & Lotions; HORSE: Girths; RIDER: Glasses & Goggles; Dog Walking; Dog Bedding; Bird Cages & Furniture","HORSE RUG CLEARANCE: 1; Bird Food & Treats: 4; STABLE: Wormers: 4; RUGS: Winter Rugs, Neck Rugs & Hoods: 5; STABLE: Show Preparation: 12; STABLE: Grooming: 11; RIDER: Gloves: 4; RIDER: Body Protectors: 1; HORSE: Flyveils & Bonnets: 4; Cat Gyms & Toys: 2; Dog Rugs & Fashion: 3; HORSE: Number Holders: 1; STABLE: First Aid & Dressings: 8; Dog Accessories: 2; RUGS: Summer Rugs, Neck Rugs & Hoods: 5; Dog Collars & Leads: 13; RIDER: Whips: 5; STABLE: Stable Equipment: 6; HORSE: Stock & Western: 5; Dog Toys: 7; Dog Wormer & Flea: 3; STABLE: Horse Treats & Toys: 6; STABLE: Leather Care & Proofing: 11; STABLE: Supplements: 16; STABLE: Feed Bins & Hay Bags: 4; RIDER: Helmets: 2; HORSE: Headstalls: 3; HORSE: Horse Boots: 13; RIDER: Giftware: 10; RUGS: Rug Accessories: 3; FOOTWEAR: Western & Roper Boots: 4; CLOTHING: Hats & Caps: 2; CLOTHING: Socks: 1; STABLE: Clippers: 2; Dog Kennels Carriers & Pens: 1; HORSE: Lungeing & Schooling: 7; FOOTWEAR CLEARANCE: 1; RIDER: Luggage: 1; SADDLES: All Purpose Saddles: 1; Small Animal: 3; Dog Treats: 5; STABLE: Hoof Care: 1; HORSE: Stirrup Leathers: 2; SADDLES: Saddle Accessories & Gullets: 1; STABLE: Farrier: 6; RIDER: Spurs & Straps: 4; HORSE: Leads & Snap Hooks: 2; HORSE: Saddlecloths: 2; HORSE: Bits: 8; HORSE: Reins: 1; HORSE: Racing & PVC: 1; STABLE: Ice Boots: 5; CLOTHING: Clothing Childs: 1; CLOTHING: Clothing Ladies: 1; CLOTHING: Jodhpurs & Breeches Childs: 1; Dog Potions & Lotions: 2; HORSE: Girths: 2; RIDER: Glasses & Goggles: 1; Dog Walking: 4; Dog Bedding: 1; Bird Cages & Furniture: 2"
cavalleria-toscana,"Shop Cavalleria Toscana Equestrian Apparel & Horse Gear",250,,"Clothing - Clothing Accessories; Clothing; Clothing - Kid's Clothing; Clothing - Ladies Clothing; Clothing - Men's Clothing; Gloves; Saddle Cloths; Accessories; Stirrup Irons - Stirrup Accessories; Horse Boots; Whips; Ladies Clothing","Clothing - Clothing Accessories: 41; Clothing: 53; Clothing - Kid's Clothing: 18; Clothing - Ladies Clothing: 103; Clothing - Men's Clothing: 19; Gloves: 3; Saddle Cloths: 1; Accessories: 4; Stirrup Irons - Stirrup Accessories: 1; Horse Boots: 4; Whips: 1; Ladies Clothing: 2"
