id,path,product_type,current_merge_to,suggested_merge_to
192,"clothing/accessories","Clothing Accessories","accessories","Clothing - Clothing Accessories"
329,"horse/rugs/accessories","Rug Accessories","accessories","RUGS: Rug Accessories"
222,"horse/rugs/accessories","Horse Rugs - Rug Accessories","accessories","RUGS: Rug Accessories"
234,"horse/saddles/accessories","Saddle Accessories","accessories","SADDLES: Saddle Accessories & Gullets"
262,"horse/saddles/accessories","Saddle Gullet","accessories","SADDLES: Saddle Accessories & Gullets"
174,"horse/saddles/accessories","Saddles - Saddle Accessories","accessories","SADDLES: Saddle Accessories & Gullets"
416,"rider/helmets/accessories","Helmet Brim","accessories","Bicycle Helmet Brim Visor"
482,"rider/luggage/bags","backpack","bags","Bag"
325,"rider/luggage/bags","Gear Bag","bags","Bag"
453,"rider/luggage/bags","Saddle Bag","bags","Bag"
457,"rider/luggage/bags","Bags","bags","Bag"
255,"clothing/accessories/belts","CLOTHING: Belts","belts","Belts"
282,"clothing/accessories/belts","Leather Plaited Belt","belts","Belts"
87,"clothing/accessories/belts","Belt","belts","Belts"
356,"clothing/accessories/belts","belts","belts","Belts"
9,"horse/bits","HORSE: Bits","bits","Bits"
211,"horse/tack/bridles","Strapping - Bridles - Bridle Accessories","bridles","Browbands"
134,"horse/tack/bridles","Strapping - Bridles","bridles","Browbands"
332,"horse/tack/bridles","Bridle Strapping","bridles","Browbands"
117,"horse/tack/bridles","Bridles","bridles","Browbands"
276,"horse/tack/bridles","Bridle Accessories","bridles","Browbands"
129,"horse/tack/bridles","Bridle","bridles","Browbands"
169,"horse/veterinary","Care Products","care","Health Care"
284,"rider/chaps","Half Chaps","chaps","RIDER: Chapettes & Gaiters"
327,"rider/chaps","Chaps","chaps","RIDER: Chapettes & Gaiters"
44,"rider/gloves","Gloves","gloves","RIDER: Gloves"
81,"horse/grooming","Grooming","grooming","STABLE: Grooming"
198,"horse/grooming","Horse Grooming","grooming","STABLE: Grooming"
233,"horse/grooming","Coat, Hoof & Grooming","grooming","STABLE: Grooming"
272,"horse/grooming","grooming","grooming","STABLE: Grooming"
412,"horse/halters","Horse Halters","halters","HORSE: Headstalls"
48,"horse/halters","Halter","halters","HORSE: Headstalls"
85,"horse/halters","Strapping - Halters","halters","HORSE: Headstalls"
410,"horse/halters","Halters","halters","HORSE: Headstalls"
411,"horse/halters","Halter Set","halters","HORSE: Headstalls"
432,"horse/halters","halter","halters","HORSE: Headstalls"
438,"clothing/accessories/hats","beanies","hats","Hats & Accessories"
158,"clothing/accessories/hats","Hat","hats","Hats & Accessories"
264,"clothing/accessories/hats","Beanies","hats","Hats & Accessories"
360,"clothing/accessories/hats","hats","hats","Hats & Accessories"
196,"clothing/accessories/hats","Hats","hats","Hats & Accessories"
180,"clothing/accessories/hats","HAT","hats","Hats & Accessories"
363,"clothing/accessories/hats","Beanie","hats","Hats & Accessories"
35,"rider/helmets","Helmet","helmets","Helmets"
406,"rider/helmets","Equestrian Helmets","helmets","Helmets"
49,"rider/helmets","RIDER: Helmets","helmets","Helmets"
352,"rider/helmets","helmet","helmets","Helmets"
116,"horse/halters/leads","Leads","leads","HORSE: Leads & Snap Hooks"
387,"horse/pads","Saddle cloths","pads","Saddle Cloths"
240,"horse/pads","saddle pad","pads","Saddle Cloths"
274,"horse/pads","Saddlepad","pads","Saddle Cloths"
275,"horse/pads","Saddle Cloth","pads","Saddle Cloths"
318,"horse/pads","Saddle Pads & Blankets","pads","Saddle Cloths"
80,"horse/pads","Saddlepads","pads","Saddle Cloths"
19,"horse/pads","HORSE: Saddlecloths","pads","Saddle Cloths"
386,"horse/pads","saddle pads","pads","Saddle Cloths"
56,"horse/pads","Saddle Pad","pads","Saddle Cloths"
373,"horse/tack/reins","English Reins","reins","HORSE: Reins"
122,"horse/tack/reins","Reins","reins","HORSE: Reins"
184,"horse/tack/reins","Strapping - Reins","reins","HORSE: Reins"
156,"horse/rugs","Horse Rug","rugs","Horse Rugs"
86,"horse/rugs","Rug","rugs","Horse Rugs"
173,"horse/rugs","Rugs","rugs","Horse Rugs"
215,"clothing/accessories/socks","long socks","socks","Socks"
125,"clothing/accessories/socks","CLOTHING: Socks","socks","Socks"
441,"clothing/accessories/socks","socks","socks","Socks"
219,"rider/spurs","Spurs and Spur Straps","spurs","RIDER: Spurs & Straps"
69,"rider/spurs","Spurs & Straps","spurs","RIDER: Spurs & Straps"
108,"rider/spurs","Spurs","spurs","RIDER: Spurs & Straps"
409,"horse/supplements","Supplements + Care","supplements","STABLE: Supplements"
66,"horse/supplements","Feed Supplements","supplements","STABLE: Supplements"
82,"horse/supplements","Supplements","supplements","STABLE: Supplements"
185,"horse/supplements","Horse Supplements","supplements","STABLE: Supplements"
468,"pet/dog/supplements","Dog Supplements","supplements","Dog Supplements"
297,"pet/dog/treats","Treats","treats","Dog Treats"
182,"rider/whips","Whips and Crops","whips","RIDER: Whips"
389,"rider/whips","Whips","whips","RIDER: Whips"
474,"rider/whips","whip","whips","RIDER: Whips"
