top_level,parent_category,subcategory_handle,product_type,action,merge_to,notes
clothing,womens,,Clothing - Ladies Clothing,include,,
pet,dog,collars and leads,Dog Collars & Leads,include,,
pet,dog,toys,Dog Toys,include,,
pet,dog,treats,Dog Treats,include,,
horse,boots,,Horse Boots,include,,add subs
horse,bits,,Bits,include,,add subs
horse ,grooming,,STABLE: Grooming,include,,add subs
horse,supplements,,STABLE: Supplements,include,,add subs
horse,bits,,HORSE: Bits,include,,add subs
,,,Veterinary,include,,TODO: Manually categorize as Horse/Pet Veterinary later
,,,Default,include,,
,,,Clothing,include,,Manualy allocate later
pet,cat,toys,Cat Gyms & Toys,include,,
horse,grooming,show-prep,STABLE: Show Preparation,include,,
rider,helmets,,Helmets,include,,add subs
clothing,accessories,,Clothing - Clothing Accessories,include,,add subs
horse,pads,,Saddle Cloths,include,,add subs
horse,boots,,HORSE: Horse Boots,include,,add subs
rider,giftware,,RIDER: Giftware,include,,add subs
horse,racing,,HORSE: Racing & PVC,include,,add subs
horse,pads,,HORSE: Saddlecloths,include,,add subs
horse,halters,leads,HORSE: Leads & Snap Hooks,include,,
,,,General,include,,add subs
pet,dog,grooming,Dog Grooming & Coat Care,include,,
rider,jewellery,,Jewellery,include,,add subs
pet,dog,accessories,Dog Accessories,include,,
clothing,,,Breeches,include,,add subs
clothing,,,Womens,include,,add subs
horse,veterinary,first-aid,STABLE: First Aid & Dressings,include,,
horse,halters,,HORSE: Headstalls,include,,add subs
pet,dog,skin-are,Dog Potions & Lotions,include,,
pet,cat,accessories,Cat Accessories,include,,
horse,stable,,STABLE: Stable Equipment,include,,add subs
clothing,men,,Clothing - Men's Clothing,include,,add subs
pet,cat,food,Cat Food & Treats,include,,
rider,helmets,,Helmet,include,,add subs
clothing,hats,,Hats & Accessories,include,,add subs
clothing,footwear,boots,Boots,include,,add subs
pet,dog,walking,Dog Walking,include,,
accessories,,,Accessories,include,,add subs
horse,training,lungeing,HORSE: Lungeing & Schooling,include,,
pet,,,Pet,include,,ad subs
clothing,belts,,Belts,include,,
rider,gloves,,RIDER: Gloves,include,,
rider ,gloves,,Gloves,include,,
horse,,,HORSE: Stock & Western,include,,add subs
horse ,rugs,summer,"RUGS: Summer Rugs, Neck Rugs & Hoods",include,,
rider,luggage,,RIDER: Luggage,include,,
horse,halters,,Halter,include,,
rider,helmets,,RIDER: Helmets,include,,add subs
horse,stable,leather-care,STABLE: Leather Care & Proofing,include,,
pet,veterinary,wormers,Dog Wormer & Flea,include,,
horse rugs,,,Horse Rugs,include,,add subs
clothing,womens,breeches,CLOTHING: Jodhpurs & Breeches Ladies,include,,
rider,glasses-and-googles,,RIDER: Glasses & Goggles,include,,
clothing,womens,,CLOTHING: Clothing Ladies,include,,add subs
horse,pads,,Saddle Pad,include,,add subs
pet,dog,coats-and-rugs,Dog Rugs & Fashion,include,,
horse,girths,,Strapping - Girths,include,,add subs
,,,HORSE: Stirrup Irons,,,
,,,STABLE: Farrier,,,
,,,RIDER: Spurs & Straps,,,
,,,Clothing - Kid's Clothing,,,
,,,Girths,,,
,,,STABLE: Horse Treats & Toys,,,
,,,Bird Toys,,,
,,,Feed Supplements,,,
,,,Cat Potions & Lotions,,,
,,,Spurs & Straps,,,
,,,HORSE: Flyveils & Bonnets,,,
,,,"RUGS: Winter Rugs, Neck Rugs & Hoods",,,
,,,Mens,,,
,,,Kids,,,
,,,STABLE: Hoof Care,,,
,,,"Horse Grooming Combs, Brushes & Mitts",,,
,,,DIY Kit,,,
,,,Small Animal,,,
,,,Bird Cages & Furniture,,,
,,,Kids Footwear,,,
,,,Saddlepads,,,
,,,Grooming,,,
,,,Supplements,,,
,,,HORSE: Girths,,,
,,,Stirrup Irons,,,
,,,Strapping - Halters,,,
,,,Rug,,,
,,,Belt,,,
,,,HORSE: Number Holders,,,
,,,CLOTHING: Hats & Caps,,,
,,,HORSE: Stirrup Leathers,,,
,,,STABLE: Clippers,,,
,,,RIDER: Stocks & Hair Accessories,,,
,,,RUGS: Rug Accessories,,,
,,,HORSE: Wither & Back Pads,,,
,,,Fly Control,,,
,,,Horse Boots & Bandages,,,
