top_level,parent_category,subcategory_handle,product_type,action,merge_to,notes
clothing,womens,,Clothing - Ladies Clothing,include,,
pet,dog,collars-and-leads,Dog Collars & Leads,include,,
pet,dog,toys,Dog Toys,include,,
pet,dog,treats,Dog Treats,include,,
horse,boots,,Horse Boots,include,,add subs
horse,bits,,Bits,include,,add subs
horse,grooming,,STABLE: Grooming,include,,add subs
horse,supplements,,STABLE: Supplements,include,,add subs
horse,bits,,HORSE: Bits,merge,bits,
,,,Veterinary,exclude,,TODO: Manually categorize as Horse/Pet Veterinary later
,,,Default,exclude,,Generic - manually allocate later
,,,Clothing,exclude,,Generic - manually allocate later
pet,cat,toys,Cat Gyms & Toys,include,,
horse,grooming,show-prep,STABLE: Show Preparation,include,,
rider,helmets,,Helmets,include,,add subs
clothing,accessories,,Clothing - Clothing Accessories,include,,add subs
horse,pads,,Saddle Cloths,include,,add subs
horse,boots,,HORSE: Horse Boots,merge,boots,
rider,giftware,,RIDER: Giftware,include,,add subs
horse,racing,,HORSE: Racing & PVC,include,,add subs
horse,pads,,HORSE: Saddlecloths,merge,pads,
horse,halters,leads,HORSE: Leads & Snap Hooks,include,,
,,,General,exclude,,Generic - manually allocate later
pet,dog,grooming,Dog Grooming & Coat Care,include,,
rider,jewellery,,Jewellery,include,,add subs
pet,dog,accessories,Dog Accessories,include,,
clothing,womens,,Breeches,include,,add subs
clothing,womens,,Womens,include,,add subs
horse,veterinary,first-aid,STABLE: First Aid & Dressings,include,,
horse,halters,,HORSE: Headstalls,include,,add subs
pet,dog,skin-care,Dog Potions & Lotions,include,,
pet,cat,accessories,Cat Accessories,include,,
horse,stable,,STABLE: Stable Equipment,include,,add subs
clothing,mens,,Clothing - Men's Clothing,include,,add subs
pet,cat,food,Cat Food & Treats,include,,
rider,helmets,,Helmet,merge,helmets,
clothing,accessories,hats,Hats & Accessories,include,,add subs
clothing,footwear,boots,Boots,include,,add subs
pet,dog,walking,Dog Walking,include,,
accessories,,,Accessories,exclude,,Generic - manually allocate later
horse,training,lungeing,HORSE: Lungeing & Schooling,include,,
pet,,,Pet,exclude,,Generic - manually allocate later
clothing,accessories,belts,Belts,include,,
rider,gloves,,RIDER: Gloves,include,,
rider,gloves,,Gloves,merge,gloves,
horse,stock-western,,HORSE: Stock & Western,include,,add subs
horse,rugs,summer,"RUGS: Summer Rugs, Neck Rugs & Hoods",include,,
rider,luggage,,RIDER: Luggage,include,,
horse,halters,,Halter,merge,halters,
rider,helmets,,RIDER: Helmets,merge,helmets,
horse,stable,leather-care,STABLE: Leather Care & Proofing,include,,
pet,dog,veterinary,Dog Wormer & Flea,include,,
horse,rugs,,Horse Rugs,include,,add subs
clothing,womens,breeches,CLOTHING: Jodhpurs & Breeches Ladies,include,,
rider,eyewear,,RIDER: Glasses & Goggles,include,,
clothing,womens,,CLOTHING: Clothing Ladies,include,,add subs
horse,pads,,Saddle Pad,merge,pads,
pet,dog,coats-and-rugs,Dog Rugs & Fashion,include,,
horse,tack,girths,Strapping - Girths,include,,add subs
horse,tack,stirrup-irons,HORSE: Stirrup Irons,include,,
horse,stable,farrier,STABLE: Farrier,include,,
rider,spurs,,RIDER: Spurs & Straps,include,,
clothing,kids,,Clothing - Kid's Clothing,include,,add subs
horse,tack,girths,Girths,merge,girths,
horse,stable,treats,STABLE: Horse Treats & Toys,include,,
pet,bird,toys,Bird Toys,include,,
horse,supplements,,Feed Supplements,merge,supplements,
pet,cat,skin-care,Cat Potions & Lotions,include,,
rider,spurs,,Spurs & Straps,merge,spurs,
horse,bonnets,,HORSE: Flyveils & Bonnets,include,,add subs
horse,rugs,winter,"RUGS: Winter Rugs, Neck Rugs & Hoods",include,,
clothing,mens,,Mens,merge,mens,
clothing,kids,,Kids,merge,kids,
horse,stable,hoof-care,STABLE: Hoof Care,include,,
horse,grooming,brushes,"Horse Grooming Combs, Brushes & Mitts",include,,
horse,stable,diy,DIY Kit,include,,
pet,small-animal,,Small Animal,include,,add subs
pet,bird,cages,Bird Cages & Furniture,include,,
clothing,kids,footwear,Kids Footwear,include,,
horse,pads,,Saddlepads,merge,pads,
horse,grooming,,Grooming,merge,grooming,
