Product Type,Count,Sample Products,Collections
"(No Product Type)",784,"head-bumper; busy-buddy-size-adjuster; western-felt-liner-with-fenders; velcro-bell-boot; thinline-insoles","horse-halters (Shop Horse Halters); thinline-global-australia (Shop Thinline Global Australia); globo_basis_collection (Globo basis collection - Do not delete); saddle-pads (Saddle Blankets, Pads & Squares); horse-boots (Horse Boots - All Types); footwear (Horse Riding Boots & Footwear, Trainers, Workers); horse-health (Horse Health & Nutrition); vivarchie-equestrian (Vivarchie Equestrian); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); bare-equestrian (Shop BARE Equestrian Apparel & Gear); on-sale (On Sale - Discount On The Best Brands & Gear); horse-grooming-supplies (Horse Grooming Gear & Accessories); stable-and-yard (Stable & Arena Gear); horse-rugs (Horse Rugs - All Types); horseware-australia (Horseware Australia); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); the-equestrian (The Equestrian); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); ps-of-sweden (PS Of Sweden); premier-equine (Premier Equine); base-layers (Shop Horse Riding Base Layers); breeches (Horse Riding Breeches - Quality International & National Brands); stirrups (Shop Horse Riding Stirrups & Leathers); visentin-equestrian (Visentin Equestrian); strapping (Bridles & Strapping - Top Brands For All Disciplines); ippico-equestrian (Ippico Equestrian); tacklet (Tacklet); shire-saddleworld (Shire Saddleworld); hitchley-harrow (Hitchley & Harrow); qj-riding-wear (QJ Riding Wear); accessories (Accessories); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); eac-animal-care (EAC Animal Care)"
"Clothing - Ladies Clothing",423,"ariat-auburn-baselayer; ariat-sunstopper-team-2-0-1-4-zip; ariat-sunstopper-2-0-1-4-zip; ariat-ladies-team-polo; ariat-tek-team-1-2-zip-sweatshirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); on-sale (On Sale - Discount On The Best Brands & Gear); base-layers (Shop Horse Riding Base Layers); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); accessories (Accessories); footwear (Horse Riding Boots & Footwear, Trainers, Workers); bare-equestrian (Shop BARE Equestrian Apparel & Gear); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); breeches (Horse Riding Breeches - Quality International & National Brands); horse-boots (Horse Boots - All Types); samshield (Shop Samshield Helmets & Equestrian Products); elt (ELT  Equestrian); ego-7 (Ego 7)"
"Dog Collars & Leads",243,"anipal-dog-leash-billie-the-bilby; anipal-dog-collar-kylo-the-koala; anipal-dog-leash-piper-the-platypus; choker-chain-pp-2-0mm; choker-chain-pp-4-0mm","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); strapping (Bridles & Strapping - Top Brands For All Disciplines); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"Dog Toys",228,"aroma-dog-toy-calming-fleece-flatty-51cm; aroma-dog-toy-calming-fleece-security-blanket-30cm; aroma-dog-toy-calming-fleece-man-dog-toy-24cm; aroma-dog-toy-calming-squeaker-mat-32cm; aroma-dog-toy-senior-fleece-floppy-blankie-body-33cm","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"Dog Treats",204,"blackdog-beef-bone-filled-with-beef; blackdog-beef-bone-filled-with-chicken; blackdog-beef-clod-bone-each; blackdog-beef-cow-ears-pack10; blackdog-beef-jerky-straps-150gm","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-health (Horse Health & Nutrition)"
"Horse Boots",199,"unlined-waler-canvas-rug; ca-stable-bandages; aubenhausen-bandage-pads; bandage-pads-set-of-2; ca-come-best-bandage-pad","horse-rugs (Horse Rugs - All Types); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); on-sale (On Sale - Discount On The Best Brands & Gear); horse-boots (Horse Boots - All Types); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); accessories (Accessories); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ps-of-sweden (PS Of Sweden); dapple-eq (Dapple EQ); the-equestrian (The Equestrian); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); horse-health (Horse Health & Nutrition); thinline-global-australia (Shop Thinline Global Australia); saddle-pads (Saddle Blankets, Pads & Squares); zilco (Shop Zilco Rugs, Horse Boots & Accessories); shire-saddleworld (Shire Saddleworld)"
"Bits",187,"bombers-2-5-ring-mchardy; bombers-3-ring-mchardy; bombers-2-5-ring-elliptical-dressage; bombers-2-1-2-ring-elliptical-ultra-comfy; bombers-blue-williams","horse-bits (Shop & Buy Horse Bits - Quality Brands - All Types); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories); tacklet (Tacklet)"
"STABLE: Grooming",175,"body-brush-flexible-gg-blue; body-brush-huntington-multi-colour; body-brush-huntington-goat-hair; body-brush-rainbow-showmaster; body-brush-salmon-english-tampico-fibre","horse-grooming-supplies (Horse Grooming Gear & Accessories); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); the-barbie-collection (The Barbie Collection); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); strapping (Bridles & Strapping - Top Brands For All Disciplines); hairy-pony (Shop Hairy Pony Grooming Products)"
"STABLE: Supplements",170,"anitone-1litre; betavet-echinacea-250ml; betavet-electrolift-30gm; betavet-steady-stead-30gm; betavet-super-boost-30gm","horse-health (Horse Health & Nutrition); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); pets (Pets - Products For Dogs, Cats, & Other Small Animals); horse-grooming-supplies (Horse Grooming Gear & Accessories); farrier-tools (Shop Farrier Tools); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"HORSE: Bits",169,"anti-rearing-bit-port-mouth-chrome-plated-12-5cm-5-0; anti-rearing-head-leather-aintree-chicago-screw-fitting-black; anti-rearing-head-leather-aintree-chicago-screw-fitting-brown; anti-rearing-head-strap-pvc-buckle-end; anti-rearing-head-strap-pvc-loop-end","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories); horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); horse-bits (Shop & Buy Horse Bits - Quality Brands - All Types); strapping (Bridles & Strapping - Top Brands For All Disciplines); on-sale (On Sale - Discount On The Best Brands & Gear)"
