Top Level,Subcategory,Sub-subcategory,Complete URL
clothing,womens,,/clothing/womens
clothing,womens,breeches,/clothing/womens/breeches
clothing,womens,tights,/clothing/womens/tights
clothing,womens,tops,/clothing/womens/tops
clothing,womens,casual,/clothing/womens/casual
clothing,womens,jeans,/clothing/womens/jeans
clothing,womens,leggings,/clothing/womens/leggings
clothing,womens,jackets,/clothing/womens/jackets
clothing,mens,,/clothing/mens
clothing,mens,jeans,/clothing/mens/jeans
clothing,mens,show-shirts,/clothing/mens/show-shirts
clothing,mens,breeches,/clothing/mens/breeches
clothing,mens,trousers,/clothing/mens/trousers
clothing,mens,casual,/clothing/mens/casual
clothing,kids,,/clothing/kids
clothing,kids,footwear,/clothing/kids/footwear
clothing,kids,breeches,/clothing/kids/breeches
clothing,kids,show-jackets,/clothing/kids/show-jackets
clothing,kids,tops,/clothing/kids/tops
clothing,kids,show-shirts,/clothing/kids/show-shirts
clothing,kids,casual,/clothing/kids/casual
clothing,kids,jackets,/clothing/kids/jackets
clothing,accessories,,/clothing/accessories
clothing,accessories,hats,/clothing/accessories/hats
clothing,accessories,belts,/clothing/accessories/belts
clothing,accessories,socks,/clothing/accessories/socks
clothing,accessories,caps,/clothing/accessories/caps
clothing,accessories,scarves,/clothing/accessories/scarves
clothing,accessories,ties,/clothing/accessories/ties
clothing,footwear,,/clothing/footwear
clothing,footwear,boots,/clothing/footwear/boots
clothing,footwear,western,/clothing/footwear/western
clothing,footwear,riding-boots,/clothing/footwear/riding-boots
clothing,footwear,casual,/clothing/footwear/casual
clothing,footwear,mens,/clothing/footwear/mens
clothing,footwear,womens,/clothing/footwear/womens
clothing,footwear,tall-boots,/clothing/footwear/tall-boots
clothing,footwear,ankle-boots,/clothing/footwear/ankle-boots
clothing,footwear,accessories,/clothing/footwear/accessories
clothing,footwear,ugg-boots,/clothing/footwear/ugg-boots
clothing,tops,,/clothing/tops
clothing,tops,shirts,/clothing/tops/shirts
clothing,tops,show-shirts,/clothing/tops/show-shirts
clothing,tops,tshirts,/clothing/tops/tshirts
clothing,tops,sweaters,/clothing/tops/sweaters
clothing,tops,knitwear,/clothing/tops/knitwear
clothing,tops,polo-shirts,/clothing/tops/polo-shirts
clothing,tops,vests,/clothing/tops/vests
clothing,tops,tanks,/clothing/tops/tanks
clothing,tops,long-sleeve,/clothing/tops/long-sleeve
clothing,outerwear,,/clothing/outerwear
clothing,outerwear,jackets,/clothing/outerwear/jackets
clothing,outerwear,show-jackets,/clothing/outerwear/show-jackets
clothing,outerwear,oilskins,/clothing/outerwear/oilskins
clothing,outerwear,riding-jackets,/clothing/outerwear/riding-jackets
clothing,sleepwear,,/clothing/sleepwear
clothing,activewear,,/clothing/activewear
clothing,bottoms,shorts,/clothing/bottoms/shorts
horse,boots,,/horse/boots
horse,boots,bell-boots,/horse/boots/bell-boots
horse,boots,tendon-boots,/horse/boots/tendon-boots
horse,boots,ice-boots,/horse/boots/ice-boots
horse,boots,bandages,/horse/boots/bandages
horse,boots,magnetic,/horse/boots/magnetic
horse,boots,therapy,/horse/boots/therapy
horse,boots,fetlock,/horse/boots/fetlock
horse,boots,overreach,/horse/boots/overreach
horse,boots,accessories,/horse/boots/accessories
horse,boots,exercise,/horse/boots/exercise
horse,boots,eventing,/horse/boots/eventing
horse,boots,float,/horse/boots/float
horse,boots,travel,/horse/boots/travel
horse,boots,polos-wraps,/horse/boots/polos-wraps
horse,boots,stable,/horse/boots/stable
horse,boots,jumping,/horse/boots/jumping
horse,boots,fly-boots,/horse/boots/fly-boots
horse,bits,,/horse/bits
horse,bits,accessories,/horse/bits/accessories
horse,grooming,,/horse/grooming
horse,grooming,show-prep,/horse/grooming/show-prep
horse,grooming,brushes,/horse/grooming/brushes
horse,grooming,coat-care,/horse/grooming/coat-care
horse,grooming,products,/horse/grooming/products
horse,grooming,bags,/horse/grooming/bags
horse,grooming,plaiting,/horse/grooming/plaiting
horse,grooming,shampoo,/horse/grooming/shampoo
horse,supplements,,/horse/supplements
