seller_id,vendor_name
2222501,Ascot Saddlery
2697667,Shire Saddleworld
2701125,HORSE QUEENED
2669816,Tacklet
2611513,Paddock Blade
2483527,The Equestrian
2479038,JNK Collective
2476079,QJ Riding Wear
2449596,Runaway Equestrian Co.
2406026,Plum Tack
2396053,JP Equestrian Fashion
2391322,Ippico Equestrian
2377734,Top Brands
2374470,Little Equine Co
2372337,Helmet Brims
2371631,CAN Animal Care
2311446,Diamond Deluxe Horsewear
2298646,Hitchley & Harrow
2289841,Living Horse Tails Jewellery By Monika
2211186,EAC Animal Care
2207206,Dapple Eq
2199060,Thinline Global Australia
2075147,Trailrace 
